WeekdayName,IssuedStatus,IssuingDate,TFSStatus,DeskID,TouristCountryNumIsoCode,InvoiceNumber,DocumentIdentifier,TotalGrossAmount,TotalRefundAmount
"jueves, 13/02/2025",Issued,11:35:13,Processed by Global Blue,1421411,MEXICO,00017774,11065408317117063324,"89.990,00","11.698,70"
"jueves, 13/02/2025",Issued,11:46:42,Issued,1421411,"KOREA, REPUBLIC OF",00017775,11065408317117063348,"94.990,00","12.348,70"
"jueves, 13/02/2025",Issued,11:56:27,Issued,1421411,PHILIPPINES,00017776,11065408317117063353,"159.980,00","20.797,40"
"jueves, 13/02/2025",Issued,16:07:00,Processed by Global Blue,1421411,AUSTRALIA,0200017781,11065408317117063664,"399.990,00","55.998,60"
"viernes, 14/02/2025",Issued,16:43:36,Processed by Global Blue,1421411,MEXICO,00017792,11065408317117064498,"157.960,00","20.534,80"
"viernes, 14/02/2025",Issued,16:49:08,Issued,1421411,MEXICO,00017793,11065408317117064511,"47.980,00","6.237,40"
"domingo, 16/02/2025",Issued,12:31:37,Issued,1421411,UNITED STATES,00017831,11065408317117066316,"53.970,00","7.016,10"
"domingo, 16/02/2025",Issued,12:59:23,Issued,1421411,UNITED STATES,00017836,11065408317117066411,"117.970,00","15.336,10"
"lunes, 17/02/2025",Issued,13:49:31,Processed by Global Blue,1421411,UNITED STATES,0200017859,11065408317117067368,"119.990,00","15.598,70"
"lunes, 17/02/2025",Issued,14:22:54,Issued,1421411,NETHERLANDS,0017860,11065408317117067436,"62.990,00","8.188,70"
"martes, 18/02/2025",Issued,12:44:40,Processed by Global Blue,1421411,UNITED STATES,0200017873,11065408317117068166,"155.990,00","20.278,70"
"viernes, 21/02/2025",Issued,11:23:32,Issued,1421411,THAILAND,00200017901,11065408317117070278,"99.990,00","12.998,70"
"viernes, 21/02/2025",Issued,12:05:48,Issued,1421411,UNITED STATES,00200017904,11065408317117070348,"51.990,00","6.758,70"
"sábado, 22/02/2025",Issued,13:16:19,Issued,1421411,CANADA,00200017931,11065408317117071752,"26.990,00","3.508,70"
"sábado, 22/02/2025",Issued,14:06:51,Issued,1421411,UNITED STATES,00200017932,11065408317117071911,"133.950,00","17.413,50"
"sábado, 22/02/2025",Issued,14:56:52,Issued,1421411,CANADA,00200017935,11065408317117072079,"461.960,00","64.674,40"
"domingo, 23/02/2025",Issued,11:56:01,Processed by Global Blue,1421411,UNITED STATES,0200017942,11065408317117072739,"204.980,00","26.647,40"
"domingo, 23/02/2025",Issued,14:39:18,Processed by Global Blue,1421411,UNITED STATES,00200017954,11065408317117073092,"239.990,00","31.198,70"
